home_team_name,away_team_name
Liverpool,Chelsea
Watford,Arsenal
Brighton & Hove Albion,Cardiff City
Manchester City,Tottenham Hotspur
AFC Bournemouth,Fulham
Huddersfield Town,Watford
West Ham United,Leicester City
Wolverhampton Wanderers,Brighton & Hove Albion
Newcastle United,Southampton
Everton,Manchester United
Arsenal,Crystal Palace
Cardiff City,Liverpool
Chelsea,Burnley
Watford,Southampton
Tottenham Hotspur,Brighton & Hove Albion
Wolverhampton Wanderers,Arsenal
Manchester United,Manchester City
Liverpool,Huddersfield Town
Tottenham Hotspur,West Ham United
Crystal Palace,Everton
Fulham,Cardiff City
Southampton,AFC Bournemouth
Watford,Wolverhampton Wanderers
Brighton & Hove Albion,Newcastle United
Leicester City,Arsenal
Burnley,Manchester City
Manchester United,Chelsea
Everton,Burnley
AFC Bournemouth,Tottenham Hotspur
West Ham United,Southampton
Wolverhampton Wanderers,Fulham
Cardiff City,Crystal Palace
Newcastle United,Liverpool
Chelsea,Watford
Huddersfield Town,Manchester United
Arsenal,Brighton & Hove Albion
